theme,type,structure,numer,tense,polarity,sentence,num_words,validity_huge_issue,sentence_id,audio_filename,presents_special_char,cluster,list_index
weather,declarative,simple,singular,present,negative,The sky is not clear today,6,correct,nat_17167,nat_17167.wav,False,4300,5
weather,interrogative,independent,plural,present,affirmative,Why do storms happen so often where we live now?,10,correct,nat_11897,nat_11897.wav,False,1934,5
nature,declarative,preposition,singular,present,affirmative,The island in the middle of the lake is small,10,correct,nat_08809,nat_08809.wav,False,4211,5
emotion,declarative,preposition,plural,past,negative,The neighbors across the street were not friendly,8,correct,nat_06930,nat_06930.wav,False,990,5
basic,interrogative,dependent,singular,past,affirmative,Did he thank you for the gift that you gave?,10,correct,nat_10699,nat_10699.wav,False,2684,5
housing,interrogative,dependent,singular,present,affirmative,Can you see the mess that the kids have made?,10,correct,nat_14536,nat_14536.wav,False,4571,5
art,interrogative,dependent,plural,present,affirmative,Do the dancers performing on stage wear special shoes?,9,correct,nat_16564,nat_16564.wav,False,610,5
work,interrogative,simple,singular,future,affirmative,Will I be able to learn a new skill?,9,correct,nat_01440,nat_01440.wav,False,1572,5
sport,declarative,preposition,plural,future,negative,The cyclists on the road will not wear helmets tonight,10,correct,nat_08903,nat_08903.wav,False,2574,5
relationship,interrogative,preposition,singular,present,negative,Is the person behind me not your dad?,8,correct,nat_19267,nat_19267.wav,False,2,5
basic,declarative,independent,singular,future,affirmative,He will call you if he needs more information,9,correct,nat_15715,nat_15715.wav,False,1877,5
sport,interrogative,simple,singular,future,affirmative,Will I be able to lift heavier weights tomorrow?,9,correct,nat_04539,nat_04539.wav,False,1671,5
housing,declarative,dependent,singular,past,affirmative,The woman living next door was a great decorator,9,correct,nat_07290,nat_07290.wav,False,1270,5
weather,interrogative,preposition,singular,future,affirmative,Is a storm going to hit our town this summer?,10,correct,nat_14831,nat_14831.wav,False,2732,5
art,interrogative,dependent,singular,future,affirmative,Is the novel that she will write going to be a bestseller?,12,correct,nat_04182,nat_04182.wav,False,3259,5
relationship,interrogative,simple,plural,present,negative,Do your parents not trust you?,6,correct,nat_10149,nat_10149.wav,False,5182,5
food,declarative,dependent,singular,present,affirmative,The boy who eats a lot is very tall,9,correct,nat_01615,nat_01615.wav,False,1445,5
humanity,interrogative,simple,plural,future,affirmative,Will the media cover the full story?,7,correct,nat_06015,nat_06015.wav,False,3341,5
emotion,interrogative,simple,plural,past,affirmative,Did the girls enjoy the music festival last summer?,9,correct,nat_03179,nat_03179.wav,False,3332,5
art,interrogative,simple,singular,future,negative,Will the concert not start on time tonight?,8,correct,nat_08368,nat_08368.wav,False,2364,5
work,declarative,dependent,plural,past,affirmative,The students who attended the lecture were very interested in it,11,correct,nat_06481,nat_06481.wav,False,2102,5
sport,interrogative,simple,singular,present,negative,Does the athlete not want to compete?,7,correct,nat_07461,nat_07461.wav,False,395,5
food,declarative,preposition,plural,future,affirmative,The families on vacation will have seafood for lunch,9,correct,nat_09688,nat_09688.wav,False,3044,5
shopping,declarative,independent,singular,past,negative,The product was not on sale nor was it discounted,10,correct,nat_17458,nat_17458.wav,False,422,5
humanity,interrogative,preposition,plural,present,affirmative,Do the tourists in the museum learn about history?,9,correct,nat_10258,nat_10258.wav,False,2921,5
transport,interrogative,dependent,singular,future,negative,Does the flight that she will take not serve a meal?,11,correct,nat_01068,nat_01068.wav,False,1416,5
basic,declarative,simple,singular,present,negative,The door is not open,5,correct,nat_16249,nat_16249.wav,False,2920,5
housing,interrogative,simple,plural,future,affirmative,Are the windows going to be replaced soon?,8,correct,nat_07068,nat_07068.wav,False,1508,5
science,declarative,preposition,plural,past,negative,The kids were not allowed to play video games,9,correct,nat_19777,nat_19777.wav,False,247,5
housing,declarative,simple,singular,past,affirmative,The old house needed a lot of maintenance work,9,correct,nat_00958,nat_00958.wav,False,865,5
work,declarative,preposition,plural,future,negative,Students in the university will not attend the lecture tomorrow,10,correct,nat_04280,nat_04280.wav,False,684,5
basic,declarative,dependent,plural,past,affirmative,The dogs that we used to own were very loyal,10,correct,nat_10971,nat_10971.wav,False,2074,5
health,interrogative,dependent,plural,past,negative,Were the women not told about the risks of that treatment?,11,correct,nat_11338,nat_11338.wav,False,344,5
shopping,declarative,simple,plural,future,negative,The shops will not accept credit cards anymore,8,correct,nat_17783,nat_17783.wav,False,1412,5
emotion,declarative,dependent,singular,past,negative,His sister was not afraid of the dark,8,correct,nat_13941,nat_13941.wav,False,696,5
weather,declarative,independent,plural,past,affirmative,The gardeners watered plants because the soil was dry,9,correct,nat_13632,nat_13632.wav,False,452,5
work,declarative,dependent,plural,past,affirmative,The courses that they offered at the university were varied,10,correct,nat_06487,nat_06487.wav,False,1623,5
health,interrogative,simple,plural,past,negative,Were the children not getting enough sleep?,7,correct,nat_01313,nat_01313.wav,False,1648,5
science,declarative,dependent,plural,present,affirmative,Students who like science are very good at problem solving,10,correct,nat_19383,nat_19383.wav,False,2717,5
shopping,interrogative,simple,singular,past,affirmative,Had the store closed by the time you arrived?,9,correct,nat_19558,nat_19558.wav,False,2162,5
sport,declarative,dependent,singular,past,affirmative,The swimmer who broke the record was very proud,9,correct,nat_11334,nat_11334.wav,False,1634,5
transport,interrogative,dependent,plural,present,affirmative,Do the people who ride motorcycles wear helmets?,8,correct,nat_14879,nat_14879.wav,False,2574,5
emotion,interrogative,independent,singular,present,affirmative,Does he get irritated when people disturb him while working?,10,correct,nat_11103,nat_11103.wav,False,4165,5
sport,interrogative,independent,plural,past,negative,Were the gymnasts not confident when they had to perform?,10,correct,nat_16025,nat_16025.wav,False,1187,5
sport,declarative,simple,singular,future,affirmative,The player will kick the ball strongly,7,correct,nat_13436,nat_13436.wav,False,3370,5
shopping,interrogative,simple,plural,present,affirmative,Do they sell fresh bread daily?,6,correct,nat_06112,nat_06112.wav,False,4075,5
weather,declarative,dependent,plural,past,affirmative,The dogs would get anxious during thunderstorms that occurred,9,correct,nat_03480,nat_03480.wav,False,1314,5
humanity,interrogative,simple,plural,future,affirmative,Will the writers finish their novels soon?,7,correct,nat_06027,nat_06027.wav,False,2334,5
housing,declarative,independent,plural,present,affirmative,The furniture is modern so it looks nice,8,correct,nat_19939,nat_19939.wav,False,2483,5
shopping,declarative,dependent,singular,past,affirmative,The item she purchased was the last one in stock,10,correct,nat_16453,nat_16453.wav,False,1906,5
food,interrogative,dependent,singular,past,affirmative,Did the chef who cooked this meal use fresh ingredients?,10,correct,nat_06193,nat_06193.wav,False,1403,5
humanity,declarative,preposition,singular,future,negative,The teacher of history will not give homework,8,correct,nat_13535,nat_13535.wav,False,3428,5
emotion,declarative,simple,singular,present,affirmative,The little boy is shy around strangers,7,correct,nat_18394,nat_18394.wav,False,4936,5
food,declarative,independent,plural,future,negative,We will not have dessert because we are on a diet,11,correct,nat_18919,nat_18919.wav,False,697,5
nature,declarative,dependent,singular,past,affirmative,The fish that I caught was a big one indeed,10,correct,nat_12330,nat_12330.wav,False,2598,5
transport,interrogative,independent,plural,past,affirmative,Had the mechanics fixed the cars before the owners drove?,10,correct,nat_13412,nat_13412.wav,False,4356,5
work,interrogative,preposition,singular,present,affirmative,Is the book on your desk about career development?,9,correct,nat_05716,nat_05716.wav,False,25,5
science,declarative,dependent,plural,future,affirmative,The scientists who study physics will make new discoveries,9,correct,nat_01084,nat_01084.wav,False,2999,5
weather,interrogative,simple,singular,future,affirmative,Will the wind die down tonight?,6,correct,nat_13584,nat_13584.wav,False,4015,5
work,interrogative,independent,plural,past,affirmative,Did the lecturers think the course materials were interesting or boring?,11,correct,nat_16406,nat_16406.wav,False,2388,5
humanity,interrogative,independent,singular,past,affirmative,Was the temple built for the people to worship in?,10,correct,nat_09668,nat_09668.wav,False,2144,5
art,declarative,simple,singular,present,negative,The music is not too loud,6,correct,nat_18485,nat_18485.wav,False,5127,5
emotion,declarative,dependent,plural,future,negative,The students will not be feeling anxious tomorrow morning,9,correct,nat_06283,nat_06283.wav,False,3979,5
humanity,declarative,preposition,singular,past,negative,The man without a job was not happy with his life,11,correct,nat_14703,nat_14703.wav,False,2492,5
science,declarative,dependent,singular,future,affirmative,The math problem that I solved will be on the test,11,correct,nat_06871,nat_06871.wav,False,1786,5
humanity,interrogative,dependent,singular,past,affirmative,Did the actor who played the role get an Oscar?,10,correct,nat_14485,nat_14485.wav,False,2344,5
food,declarative,independent,plural,future,affirmative,Many people will choose plant-based diets because they are healthier,10,correct,nat_00206,nat_00206.wav,False,4992,5
basic,interrogative,simple,singular,present,affirmative,Do you like this music?,5,correct,nat_11746,nat_11746.wav,False,4428,5
relationship,interrogative,preposition,plural,future,affirmative,Are the sisters of those boys going to the party tonight?,11,correct,nat_14430,nat_14430.wav,False,1745,5
weather,interrogative,dependent,singular,future,affirmative,Do you think it will be cloudy tomorrow afternoon?,9,correct,nat_17348,nat_17348.wav,False,120,5
shopping,declarative,preposition,plural,present,negative,The employees at this store are not very helpful,9,correct,nat_10840,nat_10840.wav,False,4268,5
health,declarative,simple,plural,future,affirmative,They will start a new exercise routine next week,9,correct,nat_09592,nat_09592.wav,False,3314,5
basic,declarative,simple,singular,past,negative,The book was not very interesting,6,correct,nat_18818,nat_18818.wav,False,3461,5
nature,interrogative,independent,plural,past,affirmative,Had the forests burned but the animals escaped?,8,correct,nat_10917,nat_10917.wav,False,1580,5
relationship,interrogative,dependent,plural,past,negative,Were the parents that we met at the meeting not very helpful?,12,correct,nat_08149,nat_08149.wav,False,413,5
emotion,interrogative,independent,singular,past,affirmative,Did he feel excited when his family went on vacation?,10,correct,nat_08090,nat_08090.wav,False,1849,5
health,interrogative,preposition,singular,future,affirmative,Does she think her mom will recover from the illness?,10,correct,nat_07859,nat_07859.wav,False,161,5
housing,declarative,preposition,singular,present,negative,The couch in the living room is not comfortable,9,correct,nat_13813,nat_13813.wav,False,357,5
emotion,interrogative,simple,plural,past,negative,Were the customers not satisfied with the service?,8,correct,nat_07955,nat_07955.wav,False,2718,5
health,interrogative,simple,plural,future,affirmative,Will the athletes have finished their physical therapy?,8,correct,nat_17001,nat_17001.wav,False,3786,5
shopping,interrogative,simple,singular,future,negative,Will he not be able to afford it?,8,correct,nat_09185,nat_09185.wav,False,1107,5
emotion,interrogative,dependent,singular,present,affirmative,Does your brother get excited when he plays games?,9,correct,nat_04265,nat_04265.wav,False,1423,5
work,interrogative,preposition,plural,present,negative,Do the researchers not have access to the data?,9,correct,nat_17247,nat_17247.wav,False,2219,5
art,interrogative,preposition,plural,future,affirmative,Are the paintings of these artists going to be expensive?,10,correct,nat_11607,nat_11607.wav,False,861,5
shopping,interrogative,independent,plural,present,affirmative,Do they have better customer service in stores or online?,10,correct,nat_16682,nat_16682.wav,False,431,5
work,declarative,simple,singular,present,negative,My mom does not work on Fridays,7,correct,nat_17388,nat_17388.wav,False,428,5
health,interrogative,preposition,singular,past,affirmative,Had he been taking his medication every morning?,8,correct,nat_12514,nat_12514.wav,False,2503,5
weather,interrogative,simple,singular,present,affirmative,Is it going to be windy today?,7,correct,nat_09356,nat_09356.wav,False,1963,5
emotion,declarative,preposition,plural,present,negative,Some friends of mine are not feeling well today,9,correct,nat_03700,nat_03700.wav,False,2693,5
sport,declarative,dependent,singular,present,affirmative,I admire the athlete who never gives up,8,correct,nat_09931,nat_09931.wav,False,2960,5
emotion,interrogative,simple,plural,present,affirmative,Are the students nervous about their final exams today?,9,correct,nat_02679,nat_02679.wav,False,3609,5
science,interrogative,preposition,singular,present,negative,Does the app on my phone not work well?,9,correct,nat_13529,nat_13529.wav,False,1264,5
art,interrogative,simple,singular,present,affirmative,Is he good at playing the drums?,7,correct,nat_15194,nat_15194.wav,False,1640,5
work,declarative,independent,plural,past,affirmative,The students learned a lot because they had good teachers,10,correct,nat_01408,nat_01408.wav,False,1665,5
weather,declarative,simple,singular,present,affirmative,The nights are still very cold,6,correct,nat_08698,nat_08698.wav,False,845,5
sport,interrogative,dependent,singular,present,affirmative,Can the swimmer who broke the record swim faster now?,10,correct,nat_05214,nat_05214.wav,False,1634,5
basic,declarative,preposition,plural,future,affirmative,The flowers in the garden will bloom next week,9,correct,nat_07312,nat_07312.wav,False,904,5
nature,declarative,dependent,singular,future,affirmative,The lake will be frozen solid next winter,8,correct,nat_09091,nat_09091.wav,False,242,5
emotion,declarative,independent,singular,future,negative,His sister will not love him because he is mean,10,correct,nat_06472,nat_06472.wav,False,361,5
shopping,declarative,dependent,singular,present,affirmative,The woman who works here is very nice to me,10,correct,nat_05537,nat_05537.wav,False,762,5
work,declarative,preposition,plural,future,negative,People without a degree will not get hired easily,9,correct,nat_04285,nat_04285.wav,False,1342,5
relationship,interrogative,simple,plural,past,affirmative,Did the kids have fun at summer camp last year?,10,correct,nat_08039,nat_08039.wav,False,986,6
food,interrogative,preposition,singular,past,affirmative,Had the baby eaten all the cereal in her bowl?,10,correct,nat_14208,nat_14208.wav,False,614,6
emotion,declarative,independent,plural,future,negative,The players will not be nervous because they are well prepared,11,correct,nat_13043,nat_13043.wav,False,508,6
nature,interrogative,preposition,plural,present,affirmative,Are the birds above the lake flying high now?,9,correct,nat_07856,nat_07856.wav,False,4338,6
humanity,interrogative,independent,plural,present,affirmative,Are most people interested in media for entertainment purposes?,9,correct,nat_07120,nat_07120.wav,False,1728,6
nature,interrogative,preposition,singular,present,affirmative,Is the forest home to many wild animals now?,9,correct,nat_16120,nat_16120.wav,False,3273,6
nature,declarative,simple,plural,present,negative,The trees in this forest are not very tall,9,correct,nat_02128,nat_02128.wav,False,1174,6
food,interrogative,preposition,plural,future,affirmative,Are the nutritionists at the conference going to discuss eating habits?,11,correct,nat_11226,nat_11226.wav,False,3029,6
weather,interrogative,simple,plural,present,affirmative,Are the temperatures rising fast?,5,correct,nat_16829,nat_16829.wav,False,1924,6
science,interrogative,dependent,singular,past,affirmative,Had he used a microscope to study cells?,8,correct,nat_00431,nat_00431.wav,False,2108,6
transport,declarative,simple,singular,future,affirmative,The new train will arrive at the station tomorrow morning,10,correct,nat_08656,nat_08656.wav,False,1216,6
basic,declarative,preposition,plural,future,negative,The women will not cook dinner in the kitchen tonight,10,correct,nat_02148,nat_02148.wav,False,3582,6
emotion,interrogative,independent,plural,past,negative,Did the boys not enjoy the party because it was boring?,11,correct,nat_05741,nat_05741.wav,False,417,6
nature,declarative,dependent,plural,future,negative,The trees that will be cut down are not old,10,correct,nat_17672,nat_17672.wav,False,63,6
shopping,declarative,preposition,plural,present,negative,The goods they sell are not made in our country,10,correct,nat_10844,nat_10844.wav,False,69,6
housing,interrogative,independent,plural,past,affirmative,Did the tenants pay rent but refuse to pay utilities?,10,correct,nat_07543,nat_07543.wav,False,3321,6
food,interrogative,dependent,singular,present,negative,Is the recipe that you found not easy to follow?,10,correct,nat_06987,nat_06987.wav,False,3628,6
food,interrogative,simple,singular,future,affirmative,Does the recipe require any special spices?,7,correct,nat_05173,nat_05173.wav,False,3828,6
work,interrogative,simple,singular,past,affirmative,Was the career advice helpful to you?,7,correct,nat_11716,nat_11716.wav,False,4570,6
basic,declarative,preposition,plural,past,negative,The cats used to not sleep at night,8,correct,nat_11387,nat_11387.wav,False,3468,6
housing,declarative,preposition,plural,future,affirmative,The new houses on the hill will have big gardens,10,correct,nat_14257,nat_14257.wav,False,3472,6
sport,declarative,simple,singular,past,negative,The score was not very close,6,correct,nat_07624,nat_07624.wav,False,2489,6
sport,declarative,preposition,singular,future,affirmative,The cyclist on the left will take the lead,9,correct,nat_12587,nat_12587.wav,False,1031,6
basic,interrogative,independent,singular,past,affirmative,Did he say thank you for the gift yet?,9,correct,nat_18667,nat_18667.wav,False,2684,6
science,declarative,dependent,plural,future,affirmative,The websites that they are designing will be very user-friendly,10,correct,nat_01087,nat_01087.wav,False,5047,6
food,interrogative,simple,plural,present,affirmative,Are those eggs boiled or fried?,6,correct,nat_06827,nat_06827.wav,False,362,6
art,interrogative,dependent,singular,future,affirmative,Can the child who will learn piano become a great musician?,11,correct,nat_04189,nat_04189.wav,False,4760,6
science,interrogative,simple,singular,present,affirmative,Does the computer have enough memory to run this game?,10,correct,nat_03427,nat_03427.wav,False,273,6
humanity,declarative,dependent,plural,present,negative,The kids who play video games all day are not healthy,11,correct,nat_00248,nat_00248.wav,False,247,6
shopping,declarative,independent,plural,past,affirmative,They had been shopping for hours but found nothing,9,correct,nat_17438,nat_17438.wav,False,43,6
nature,interrogative,independent,plural,past,affirmative,Did the mountains shake when the earthquakes happened?,8,correct,nat_10916,nat_10916.wav,False,1913,6
housing,interrogative,independent,plural,present,negative,Why are the owners not selling their house for less money?,11,correct,nat_06216,nat_06216.wav,False,4296,6
humanity,interrogative,dependent,plural,future,affirmative,Will the voters who elect the new president be happy?,10,correct,nat_06560,nat_06560.wav,False,3870,6
humanity,declarative,preposition,singular,future,affirmative,The future of the music industry will be shaped by technology,11,correct,nat_14125,nat_14125.wav,False,2724,6
housing,interrogative,preposition,singular,past,affirmative,Did he fix the roof of his house?,8,correct,nat_13962,nat_13962.wav,False,3813,6
relationship,interrogative,dependent,plural,past,affirmative,Did the siblings who shared a room get along well?,10,correct,nat_00279,nat_00279.wav,False,1431,6
food,declarative,simple,singular,present,affirmative,My mom loves cooking homemade pasta sauce,7,correct,nat_10994,nat_10994.wav,False,4421,6
housing,declarative,simple,singular,present,affirmative,This house has a very cozy atmosphere inside,8,correct,nat_00546,nat_00546.wav,False,1726,6
shopping,declarative,preposition,singular,future,negative,The store will not have any discounts on shoes tomorrow,10,correct,nat_11675,nat_11675.wav,False,3415,6
humanity,interrogative,independent,singular,past,affirmative,Did the artist paint the portrait because she loved him?,10,correct,nat_09663,nat_09663.wav,False,1695,6
food,declarative,preposition,plural,future,affirmative,The students in class will learn about nutrition soon,9,correct,nat_09698,nat_09698.wav,False,36,6
food,declarative,simple,plural,future,negative,No kids will be allowed to drink soda,8,correct,nat_08093,nat_08093.wav,False,2255,6
relationship,declarative,independent,singular,past,affirmative,My mom was happy but my dad was sad about it,11,correct,nat_11139,nat_11139.wav,False,2510,6
housing,declarative,dependent,plural,past,affirmative,The floors that they installed were made of hardwood,9,correct,nat_14763,nat_14763.wav,False,981,6
art,declarative,simple,plural,future,affirmative,The crafters will make unique handmade items,7,correct,nat_08533,nat_08533.wav,False,188,6
work,declarative,independent,plural,past,affirmative,The teachers were happy because their students were learning,9,correct,nat_01392,nat_01392.wav,False,1551,6
food,declarative,simple,singular,past,affirmative,The cake was baked in the oven yesterday,8,correct,nat_12383,nat_12383.wav,False,1811,6
transport,interrogative,independent,plural,past,affirmative,Had the pilots eaten before they flew the planes?,9,correct,nat_13408,nat_13408.wav,False,4027,6
humanity,interrogative,dependent,singular,future,affirmative,Can the teacher who will give the lecture explain it clearly?,11,correct,nat_08133,nat_08133.wav,False,2610,6
basic,declarative,simple,plural,present,negative,The players are not doing well,6,correct,nat_15348,nat_15348.wav,False,295,6
humanity,declarative,dependent,plural,present,affirmative,The books on the shelf are about world history,9,correct,nat_05541,nat_05541.wav,False,1466,6
sport,declarative,preposition,singular,past,affirmative,He had won many trophies in his sports career,9,correct,nat_02310,nat_02310.wav,False,1027,6
sport,interrogative,dependent,singular,future,affirmative,Will the cyclist who is training hard win the competition?,10,correct,nat_05789,nat_05789.wav,False,1575,6
housing,declarative,simple,plural,future,affirmative,The tenants will sign a new lease agreement soon,9,correct,nat_00935,nat_00935.wav,False,4638,6
basic,interrogative,simple,plural,future,affirmative,Will the girls be singing in the choir?,8,correct,nat_12926,nat_12926.wav,False,3318,6
art,interrogative,dependent,singular,future,affirmative,Is the story that she will tell going to be interesting?,11,correct,nat_04193,nat_04193.wav,False,3378,6
science,declarative,simple,plural,present,negative,Those scientists are not studying climate change,7,correct,nat_01888,nat_01888.wav,False,852,6
sport,interrogative,simple,singular,present,negative,Is the player not feeling well?,6,correct,nat_07464,nat_07464.wav,False,3241,6
transport,declarative,dependent,plural,past,affirmative,They had been walking for miles,6,correct,nat_14603,nat_14603.wav,False,1381,6
basic,declarative,simple,plural,future,affirmative,The volunteers will help the homeless on Christmas day,9,correct,nat_11252,nat_11252.wav,False,742,6
weather,interrogative,preposition,singular,past,negative,Was the sun not shining through the clouds yesterday?,9,correct,nat_05937,nat_05937.wav,False,2994,6
nature,interrogative,preposition,singular,present,negative,Does the cat under the bed not like to sleep?,10,correct,nat_06777,nat_06777.wav,False,2614,6
humanity,declarative,preposition,singular,future,affirmative,The country will benefit from the new trade agreement greatly,10,correct,nat_14126,nat_14126.wav,False,576,6
food,declarative,preposition,singular,past,affirmative,She had a sandwich for lunch yesterday afternoon,8,correct,nat_13979,nat_13979.wav,False,2284,6
shopping,interrogative,preposition,singular,past,affirmative,Did the store have a sale on winter clothes then?,10,correct,nat_04453,nat_04453.wav,False,90,6
nature,interrogative,simple,singular,future,affirmative,Will a new mountain trail be opened soon?,8,correct,nat_15225,nat_15225.wav,False,438,6
shopping,interrogative,simple,plural,past,affirmative,Were coupons accepted at the checkout counter?,7,correct,nat_14720,nat_14720.wav,False,5081,6
nature,interrogative,simple,plural,future,negative,Are the mountains not going to be covered in snow?,10,correct,nat_17636,nat_17636.wav,False,2253,6
relationship,interrogative,simple,plural,future,negative,Will the family not be moving to a new house?,10,correct,nat_06097,nat_06097.wav,False,126,6
emotion,declarative,preposition,singular,present,affirmative,His words are filled with anger and hate,8,correct,nat_05631,nat_05631.wav,False,4588,6
emotion,interrogative,dependent,plural,present,negative,Do the actors not get anxious before a live show?,10,correct,nat_09387,nat_09387.wav,False,1799,6
basic,interrogative,preposition,plural,present,negative,Do the students in this class not like math?,9,correct,nat_06350,nat_06350.wav,False,3052,6
science,declarative,dependent,plural,present,affirmative,People who work with technology are very innovative,8,correct,nat_19392,nat_19392.wav,False,3427,6
health,interrogative,simple,plural,future,affirmative,Will the injured be able to walk again soon?,9,correct,nat_17009,nat_17009.wav,False,4707,6
work,declarative,simple,singular,present,negative,The office is not open on Sundays,7,correct,nat_17393,nat_17393.wav,False,2386,6
health,interrogative,dependent,singular,present,affirmative,Do you think that my mom has a healthy lifestyle?,10,correct,nat_00162,nat_00162.wav,False,584,6
emotion,interrogative,simple,singular,past,affirmative,Was he feeling anxious about the exam results?,8,correct,nat_03364,nat_03364.wav,False,1746,6
relationship,declarative,independent,singular,future,affirmative,He will become a good father because he loves kids,10,correct,nat_19905,nat_19905.wav,False,3698,6
nature,declarative,simple,plural,future,affirmative,The plants will need more water soon,7,correct,nat_03119,nat_03119.wav,False,1140,6
relationship,declarative,dependent,plural,past,negative,They had not seen their grandparents in years,8,correct,nat_18612,nat_18612.wav,False,3200,6
food,interrogative,independent,plural,present,affirmative,Do families have dessert because they love sweets so much?,10,correct,nat_08789,nat_08789.wav,False,482,6
relationship,declarative,independent,plural,present,affirmative,Children grow up fast because time flies quickly,8,correct,nat_00888,nat_00888.wav,False,1199,6
nature,declarative,dependent,plural,past,affirmative,The trees that stood on the hill had been cut down,11,correct,nat_16136,nat_16136.wav,False,63,6
science,declarative,preposition,singular,past,negative,The student did not pass the science test,8,correct,nat_15382,nat_15382.wav,False,4104,6
humanity,declarative,preposition,singular,future,affirmative,The journalist will write an article about government corruption tomorrow,10,correct,nat_14134,nat_14134.wav,False,1620,6
nature,declarative,simple,singular,future,affirmative,The flowers will bloom in every color,7,correct,nat_11706,nat_11706.wav,False,904,6
health,interrogative,dependent,plural,past,negative,Were the kids not eating the healthy food they were given?,11,correct,nat_11336,nat_11336.wav,False,1879,6
transport,declarative,simple,singular,present,negative,He is not going on vacation,6,correct,nat_10381,nat_10381.wav,False,315,6
transport,interrogative,preposition,singular,future,negative,Is the path through the woods not safe to walk?,10,correct,nat_04387,nat_04387.wav,False,4129,6
science,declarative,simple,plural,past,affirmative,Students used to learn math with calculators daily,8,correct,nat_19750,nat_19750.wav,False,72,6
food,declarative,simple,singular,past,affirmative,I had been craving ice cream all day,8,correct,nat_12396,nat_12396.wav,False,4187,6
humanity,declarative,preposition,singular,future,negative,The man in the painting will not be smiling,9,correct,nat_13533,nat_13533.wav,False,4241,6
basic,declarative,independent,singular,future,affirmative,The cat will sleep because it is very tired,9,correct,nat_15728,nat_15728.wav,False,2614,6
nature,interrogative,preposition,plural,past,affirmative,Did the plants in the greenhouse grow well last year?,10,correct,nat_17560,nat_17560.wav,False,2515,6
work,declarative,independent,singular,future,affirmative,She will attend university because her parents want her to study,11,correct,nat_08536,nat_08536.wav,False,2864,6
health,declarative,independent,plural,present,affirmative,Most women go to therapy because it helps them cope,10,correct,nat_18850,nat_18850.wav,False,4885,6
science,declarative,independent,singular,present,affirmative,The car engine is loud so I wear ear protection,10,correct,nat_04157,nat_04157.wav,False,4503,6
transport,declarative,preposition,plural,past,affirmative,The group of friends went on a road trip,9,correct,nat_05124,nat_05124.wav,False,1145,6
shopping,declarative,independent,singular,future,affirmative,He will get a discount because he is a student,10,correct,nat_03556,nat_03556.wav,False,721,6
science,declarative,independent,singular,present,affirmative,I like coding because it is a fun challenge,9,correct,nat_04163,nat_04163.wav,False,13,6
emotion,interrogative,dependent,singular,future,affirmative,Will the person I love be feeling calm tomorrow?,9,correct,nat_15012,nat_15012.wav,False,1130,6
weather,declarative,dependent,plural,future,affirmative,The cities that are prepared for natural disasters will recover quickly,11,correct,nat_03729,nat_03729.wav,False,4901,6
shopping,declarative,simple,singular,past,affirmative,He spent all his money at the mall,8,correct,nat_11346,nat_11346.wav,False,3732,6
shopping,declarative,simple,singular,past,negative,The service was not available at night,7,correct,nat_16076,nat_16076.wav,False,537,6
nature,interrogative,simple,plural,future,affirmative,Will the rabbits have enough shelter from predators?,8,correct,nat_00613,nat_00613.wav,False,303,6
food,interrogative,preposition,plural,present,negative,Are the eggs in the fridge not good to eat?,10,correct,nat_02547,nat_02547.wav,False,1029,6
art,interrogative,simple,plural,present,negative,Are these writers not very talented people?,7,correct,nat_01632,nat_01632.wav,False,5148,6
science,declarative,dependent,plural,future,affirmative,The machines that they are building will be very precise instruments,11,correct,nat_01089,nat_01089.wav,False,3550,6
food,interrogative,dependent,singular,present,affirmative,Does the girl who loves sweets have diabetes?,8,correct,nat_14976,nat_14976.wav,False,1330,6
art,declarative,independent,singular,present,affirmative,The photographer takes stunning pictures of nature and wildlife too,10,correct,nat_17148,nat_17148.wav,False,1479,6
nature,declarative,simple,singular,future,affirmative,A strong wind will blow across the plain,8,correct,nat_11693,nat_11693.wav,False,3403,6
food,declarative,dependent,singular,present,affirmative,The girl who loves ice cream eats it often,9,correct,nat_01623,nat_01623.wav,False,2557,6
health,interrogative,dependent,singular,present,negative,Does the girl who is always crying not need help?,10,correct,nat_05947,nat_05947.wav,False,1364,6
science,declarative,dependent,plural,past,affirmative,The robots that were built last year are now obsolete,10,correct,nat_04324,nat_04324.wav,False,1938,6
science,interrogative,dependent,singular,future,affirmative,Does the app that I will download have good reviews?,10,correct,nat_16010,nat_16010.wav,False,1650,6
shopping,interrogative,preposition,singular,future,affirmative,Will she be able to return it after a month?,10,correct,nat_03325,nat_03325.wav,False,412,6
relationship,interrogative,preposition,singular,future,affirmative,Will he have a new baby next year?,8,correct,nat_05819,nat_05819.wav,False,324,6
weather,declarative,independent,singular,past,affirmative,The frost was beautiful but it damaged my plants badly,10,correct,nat_13326,nat_13326.wav,False,51,6
nature,declarative,simple,plural,present,affirmative,The weather changes with the seasons now,7,correct,nat_04581,nat_04581.wav,False,4623,6
basic,declarative,independent,singular,past,affirmative,The cat slept while the dog was eating,8,correct,nat_07579,nat_07579.wav,False,375,6
work,declarative,independent,singular,future,affirmative,She will study hard yet still find time for her hobbies,11,correct,nat_08546,nat_08546.wav,False,1882,6
humanity,declarative,dependent,plural,past,affirmative,The farmers who grew those crops were hardworking people,9,correct,nat_15547,nat_15547.wav,False,164,6
nature,declarative,independent,singular,present,affirmative,The mountain is steep yet the hikers climb it,9,correct,nat_11474,nat_11474.wav,False,4309,6
